coordinates,created_at,followers,friends,geolocation,original_text,text,tweet_type,user_id,user_location,user_name,user_screen_name,verified,lang
,2015-09-05 11:23:31+00:00,92,204,,,This is more like mass resettlement under the refugee garb,post,100166291,"Bangalore, India",Ram Balakrishnan,BolaRam,FALSE,en
,2015-09-05 13:51:29+00:00,1652,1008,,,The right to political asylum has no limits' - Angela Merkel,post,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-13 09:45:24+00:00,1647,1015,,,Maybe they should go live in the Balkans and see how hard it is to make money https://t.co/PFTsA9Z6Ec,post,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-05 10:29:21+00:00,1652,1007,,Tony Abbott refuses to give in to Coalition call for greater refugee intake in wake of Middle East crisis http://t.co/eyT3mCk155,RT @9NewsAUS: Tony Abbott refuses to give in to Coalition call for greater refugee intake in wake of Middle East crisis http://t.co/eyT3mCk…,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-04 09:54:48+00:00,1647,1004,,"""Humanity washed ashore""- #KiyiyaVuranInsanlik- A drowned toddler has become a symbol of Europe's refugee crisis.
https://t.co/IoN7nzEUmh","RT @ajplus: ""Humanity washed ashore""- #KiyiyaVuranInsanlik- A drowned toddler has become a symbol of Europe's refugee crisis. https://t.co/…",share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-05 10:22:38+00:00,1652,1007,,"I was once a refugee !
 #Kosovo in 1999 and #Syria in 2015
 #refugeecrisis #SyriaCrisis #refugees #refugeeswelcome ! http://t.co/X4vQtQCLhl",RT @ArbroraRrahmani: I was once a refugee !  #Kosovo in 1999 and #Syria in 2015  #refugeecrisis #SyriaCrisis #refugees #refugeeswelcome ! h…,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-04 12:40:27+00:00,1649,1005,,"David Cameron knows Britain can do more. Australia can restore our refugee intake to 20000 now. #WeCanDoBetter 

http://t.co/WOZ9WQmU0M",RT @bradchilcott: David Cameron knows Britain can do more. Australia can restore our refugee intake to 20000 now. #WeCanDoBetter   http://t…,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-07 07:45:36+00:00,1650,1010,,"I wrote this, because people are dying and we need to act now. http://t.co/lP9CpZpsyd","RT @DanielAndrewsMP: I wrote this, because people are dying and we need to act now. http://t.co/lP9CpZpsyd",share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-06 12:12:15+00:00,1652,1010,,European refugee crisis a tiny fraction of what the Middle East is experiencing. http://t.co/5Wx4rPQ1Z3,RT @ianbremmer: European refugee crisis a tiny fraction of what the Middle East is experiencing. http://t.co/5Wx4rPQ1Z3,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-04 12:32:08+00:00,1649,1005,,This is what asylum seekers look like. Stop turning them away. @theprojecttv http://t.co/OGFIrk0Hk1,RT @itsyogirlsagal: This is what asylum seekers look like. Stop turning them away. @theprojecttv http://t.co/OGFIrk0Hk1,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-09 12:41:19+00:00,1654,1014,,New data: #Syria’s neighbours are buckling under the strain. Other countries must play their part in refugee crisis http://t.co/MPelALFk4o,RT @Refugees: New data: #Syria’s neighbours are buckling under the strain. Other countries must play their part in refugee crisis http://t.…,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-11 12:36:58+00:00,1647,1017,,"Kindness of ethnic Albanian police officer (from Presevo), to child refugee, wins Serbia praise as photo goes viral http://t.co/XBCWmJtstg","RT @RubenAvxhiu: Kindness of ethnic Albanian police officer (from Presevo), to child refugee, wins Serbia praise as photo goes viral http:/…",share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-04 08:43:14+00:00,1647,1004,,Mr Abbott's response to Syrian refugee crisis is a disgrace. A humanitarian slur and an international shame. Ugly and callous.,RT @sarahinthesen8: Mr Abbott's response to Syrian refugee crisis is a disgrace. A humanitarian slur and an international shame. Ugly and c…,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-04 08:42:53+00:00,1647,1004,,While the rest of the world is grieving Tony Abbott says everyone should just turn back refugee boats. Where to? The war in Syria &amp; Libya??,RT @sarahinthesen8: While the rest of the world is grieving Tony Abbott says everyone should just turn back refugee boats. Where to? The wa…,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-05 10:31:36+00:00,1652,1007,,.@nytimes attacks Tony Abbott's 'inhumane' and 'brutal' asylum seeker policy in scathing editorial. http://t.co/3Evy6gtMeB,RT @smh: .@nytimes attacks Tony Abbott's 'inhumane' and 'brutal' asylum seeker policy in scathing editorial. http://t.co/3Evy6gtMeB,share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-09 04:08:23+00:00,1655,1015,,"LATEST: PM expected to formally announce 12,000 Syrian refugee intake at lunchtime http://t.co/3VaGEQPO8F","RT @theheraldsun: LATEST: PM expected to formally announce 12,000 Syrian refugee intake at lunchtime http://t.co/3VaGEQPO8F",share,1000459982,Australia,Ramadan,ramadanbesim,FALSE,en
,2015-09-04 10:34:48+00:00,4896,644,,#Syria-n #refugee mother on #train in #Bicske #Hungary sent me this pic says kids on board are very hungry &amp; thirsty http://t.co/CeB7een5jL,RT @MIJamjoom: #Syria-n #refugee mother on #train in #Bicske #Hungary sent me this pic says kids on board are very hungry &amp; thirsty http://…,share,100181484,india,Ravindra Ambekar,RavindraAmbekar,FALSE,en
,2015-09-04 17:09:22+00:00,212,559,,,Facebook Banned These Photos of Europe’s Refugee Crisis http://t.co/K0EDVI4WWc,post,10007082,Vancouver,Renée,renee_mak,FALSE,en
